
RULES:
S: (13) [D] $Ln $Vr $Ln $Vr $Ln $So $Br $Go $Pc $Ch I | 
Ch: (4) $A $A $A $A 
Pc: (4) $A $A $A $A 
Go: (2) $A $A 
Br: (4) $A $A $A $A 
So: (4) $A $A $A $A 
Vr: (4) $A $A $A $A 
Ln: (4) $A $A $A $A 
A: (5) I | V IV | 

Raw chord progression:
[D] I | V IV | I | V IV | I | V IV | I | V IV | I | V IV | I | V IV | I | V IV | I | V IV | I | V IV | I | V IV | I | V IV | I | V IV | I | V IV | I | V IV | I | V IV | I | V IV | I | V IV | I | V IV | I | V IV | I | V IV | I | V IV | I | V IV | I | V IV | I | V IV | I | V IV | I | V IV | I | V IV | I | V IV | I | V IV | I | V IV | I | V IV | I | V IV | I | V IV | I | V IV | I | V IV | I | V IV | I | V IV | I | V IV | I | 

Chords: I (0.000) V (1.000) IV (1.500) I (2.000) V (3.000) IV (3.500) I (4.000) V (5.000) IV (5.500) I (6.000) V (7.000) IV (7.500) I (8.000) V (9.000) IV (9.500) I (10.000) V (11.000) IV (11.500) I (12.000) V (13.000) IV (13.500) I (14.000) V (15.000) IV (15.500) I (16.000) V (17.000) IV (17.500) I (18.000) V (19.000) IV (19.500) I (20.000) V (21.000) IV (21.500) I (22.000) V (23.000) IV (23.500) I (24.000) V (25.000) IV (25.500) I (26.000) V (27.000) IV (27.500) I (28.000) V (29.000) IV (29.500) I (30.000) V (31.000) IV (31.500) I (32.000) V (33.000) IV (33.500) I (34.000) V (35.000) IV (35.500) I (36.000) V (37.000) IV (37.500) I (38.000) V (39.000) IV (39.500) I (40.000) V (41.000) IV (41.500) I (42.000) V (43.000) IV (43.500) I (44.000) V (45.000) IV (45.500) I (46.000) V (47.000) IV (47.500) I (48.000) V (49.000) IV (49.500) I (50.000) V (51.000) IV (51.500) I (52.000) V (53.000) IV (53.500) I (54.000) V (55.000) IV (55.500) I (56.000) V (57.000) IV (57.500) I (58.000) V (59.000) IV (59.500) I (60.000) V (61.000) IV (61.500) I (62.000) V (63.000) IV (63.500) I (64.000) V (65.000) IV (65.500) I (66.000) V (67.000) IV (67.500) I (68.000) V (69.000) IV (69.500) I (70.000) V (71.000) IV (71.500) I (72.000) V (73.000) IV (73.500) I (74.000) V (75.000) IV (75.500) I (76.000) 

Chords w/ timepoints and roots:
 0.00  1.00     I   0   1   2   2
 1.00  1.50     V   7   5   2   9
