33.50 34.00     V   7   5   9   4
34.00 35.00     I   0   1   9   9
35.00 35.50    IV   5   4   9   2
35.50 36.00     V   7   5   9   4
36.00 37.00     I   0   1   9   9
37.00 37.50    IV   5   4   9   2
37.50 38.00     V   7   5   9   4
38.00 38.50     I   0   1   9   9
38.50 39.00    IV   5   4   9   2
39.00 40.00     I   0   1   9   9
40.00 42.00    IV   5   4   9   2
42.00 43.00     I   0   1   9   9
43.00 43.50    IV   5   4   9   2
43.50 44.00     I   0   1   9   9
44.00 46.00    IV   5   4   9   2
46.00 47.00    II   2   2   9  11
47.00 47.50    IV   5   4   9   2
47.50 48.00     V   7   5   9   4
48.00 49.00     I   0   1   9   9
49.00 49.50    IV   5   4   9   2
49.50 50.00     V   7   5   9   4
50.00 51.00     I   0   1   9   9
51.00 51.50    IV   5   4   9   2
51.50 52.00     V   7   5   9   4
52.00 53.00     I   0   1   9   9
53.00 53.50    IV   5   4   9   2
53.50 54.00     V   7   5   9   4
54.00 54.50     I   0   1   9   9
54.50 55.00    IV   5   4   9   2
55.00 57.00     I   0   1   9   9
57.00 57.50    IV   5   4   9   2
57.50 58.00     V   7   5   9   4
58.00 59.00     I   0   1   9   9
59.00 59.50    IV   5   4   9   2
59.50 60.00     V   7   5   9   4
60.00 61.00     I   0   1   9   9
61.00 61.50    IV   5   4   9   2
61.50 62.00     V   7   5   9   4
62.00 62.50     I   0   1   9   9
62.50 63.00    IV   5   4   9   2
63.00 64.00     I   0   1   9   9
64.00 66.00    IV   5   4   9   2
66.00 67.00     I   0   1   9   9
67.00 67.50    IV   5   4   9   2
67.50 68.00     I   0   1   9   9
68.00 70.00    IV   5   4   9   2
70.00 71.00    II   2   2   9  11
71.00 71.50    IV   5   4   9   2
71.50 72.00     V   7   5   9   4
72.00 73.00     I   0   1   9   9
73.00 73.50    IV   5   4   9   2
73.50 74.00     V   7   5   9   4
74.00 75.00     I   0   1   9   9
75.00 75.50    IV   5   4   9   2
75.50 76.00     V   7   5   9   4
76.00 77.00     I   0   1   9   9
77.00 77.50    IV   5   4   9   2
77.50 78.00     V   7   5   9   4
78.00 78.50     I   0   1   9   9
78.50 79.00    IV   5   4   9   2
79.00 81.00     I   0   1   9   9
81.00 81.50    IV   5   4   9   2
81.50 82.00     V   7   5   9   4
82.00 83.00     I   0   1   9   9
83.00 83.50    IV   5   4   9   2
83.50 84.00     V   7   5   9   4
84.00 85.00     I   0   1   9   9
85.00 85.50    IV   5   4   9   2
85.50 86.00     V   7   5   9   4
86.00 86.50     I   0   1   9   9
86.50 87.00    IV   5   4   9   2
87.00 96.00     I   0   1   9   9
---

