
RULES:
S: (7) [G] $In $Vr $Br $Vr $Br $Vr3 
Vr3: (21) $A $A $A $A $A $A $A $A vi | | IV | V | $A $A $A $A $A $A 
Br: (13) $B $B $B $B IV vi | IV V | $B I | 
Vr: (20) $A $A $A $A $A $A $A $A vi | | IV | V | $A $A $A I | 
In: (5) $A $A $A I | 
B: (3) I IV | 
A: (3) I V | 

Raw chord progression:
[G] I V | I V | I V | I | . V | I V | I V | I V | I V | I V | I V | I V | vi | | IV | V | I V | I V | I V | I | . IV | I IV | I IV | I IV | . vi | IV V | I IV | I | . V | I V | I V | I V | I V | I V | I V | I V | vi | | IV | V | I V | I V | I V | I | . IV | I IV | I IV | I IV | . vi | IV V | I IV | I | . V | I V | I V | I V | I V | I V | I V | I V | vi | | IV | V | I V | I V | I V | I V | I V | I V | 

Chords: I (0.000) V (0.500) I (1.000) V (1.500) I (2.000) V (2.500) I (3.000) V (4.500) I (5.000) V (5.500) I (6.000) V (6.500) I (7.000) V (7.500) I (8.000) V (8.500) I (9.000) V (9.500) I (10.000) V (10.500) I (11.000) V (11.500) vi (12.000) IV (14.000) V (15.000) I (16.000) V (16.500) I (17.000) V (17.500) I (18.000) V (18.500) I (19.000) IV (20.500) I (21.000) IV (21.500) I (22.000) IV (22.500) I (23.000) IV (23.500) vi (24.500) IV (25.000) V (25.500) I (26.000) IV (26.500) I (27.000) V (28.500) I (29.000) V (29.500) I (30.000) V (30.500) I (31.000) V (31.500) I (32.000) V (32.500) I (33.000) V (33.500) I (34.000) V (34.500) I (35.000) V (35.500) vi (36.000) IV (38.000) V (39.000) I (40.000) V (40.500) I (41.000) V (41.500) I (42.000) V (42.500) I (43.000) IV (44.500) I (45.000) IV (45.500) I (46.000) IV (46.500) I (47.000) IV (47.500) vi (48.500) IV (49.000) V (49.500) I (50.000) IV (50.500) I (51.000) V (52.500) I (53.000) V (53.500) I (54.000) V (54.500) I (55.000) V (55.500) I (56.000) V (56.500) I (57.000) V (57.500) I (58.000) V (58.500) I (59.000) V (59.500) vi (60.000) IV (62.000) V (63.000) I (64.000) V (64.500) I (65.000) V (65.500) I (66.000) V (66.500) I (67.000) V (67.500) I (68.000) V (68.500) I (69.000) V (69.500) 

Chords w/ timepoints and roots:
 0.00  0.50     I   0   1   7   7
 0.50  1.00     V   7   5   7   2
 1.00  1.50     I   0   1   7   7
 1.50  2.00     V   7   5   7   2
 2.00  2.50     I   0   1   7   7
 2.50  3.00     V   7   5   7   2
 3.00  4.50     I   0   1   7   7
 4.50  5.00     V   7   5   7   2
 5.00  5.50     I   0   1   7   7
 5.50  6.00     V   7   5   7   2
 6.00  6.50     I   0   1   7   7
 6.50  7.00     V   7   5   7   2
 7.00  7.50     I   0   1   7   7
 7.50  8.00     V   7   5   7   2
 8.00  8.50     I   0   1   7   7
 8.50  9.00     V   7   5   7   2
 9.00  9.50     I   0   1   7   7
 9.50 10.00     V   7   5   7   2
10.00 10.50     I   0   1   7   7
10.50 11.00     V   7   5   7   2
11.00 11.50     I   0   1   7   7
11.50 12.00     V   7   5   7   2
12.00 14.00    vi   9   6   7   4
14.00 15.00    IV   5   4   7   0
15.00 16.00     V   7   5   7   2
16.00 16.50     I   0   1   7   7
16.50 17.00     V   7   5   7   2
17.00 17.50     I   0   1   7   7
17.50 18.00     V   7   5   7   2
18.00 18.50     I   0   1   7   7
18.50 19.00     V   7   5   7   2
19.00 20.50     I   0   1   7   7
20.50 21.00    IV   5   4   7   0
21.00 21.50     I   0   1   7   7
21.50 22.00    IV   5   4   7   0
22.00 22.50     I   0   1   7   7
22.50 23.00    IV   5   4   7   0
23.00 23.50     I   0   1   7   7
23.50 24.50    IV   5   4   7   0
24.50 25.00    vi   9   6   7   4
25.00 25.50    IV   5   4   7   0
25.50 26.00     V   7   5   7   2
26.00 26.50     I   0   1   7   7
26.50 27.00    IV   5   4   7   0
27.00 28.50     I   0   1   7   7
28.50 29.00     V   7   5   7   2
29.00 29.50     I   0   1   7   7
29.50 30.00     V   7   5   7   2
30.00 30.50     I   0   1   7   7
30.50 31.00     V   7   5   7   2
31.00 31.50     I   0   1   7   7
31.50 32.00     V   7   5   7   2
32.00 32.50     I   0   1   7   7
32.50 33.00     V   7   5   7   2
33.00 33.50     I   0   1   7   7
33.50 34.00     V   7   5   7   2
34.00 34.50     I   0   1   7   7
34.50 35.00     V   7   5   7   2
35.00 35.50     I   0   1   7   7
35.50 36.00     V   7   5   7   2
36.00 38.00    vi   9   6   7   4
38.00 39.00    IV   5   4   7   0
39.00 40.00     V   7   5   7   2
40.00 40.50     I   0   1   7   7
40.50 41.00     V   7   5   7   2
41.00 41.50     I   0   1   7   7
41.50 42.00     V   7   5   7   2
42.00 42.50     I   0   1   7   7
42.50 43.00     V   7   5   7   2
43.00 44.50     I   0   1   7   7
44.50 45.00    IV   5   4   7   0
45.00 45.50     I   0   1   7   7
45.50 46.00    IV   5   4   7   0
46.00 46.50     I   0   1   7   7
46.50 47.00    IV   5   4   7   0
47.00 47.50     I   0   1   7   7
47.50 48.50    IV   5   4   7   0
48.50 49.00    vi   9   6   7   4
49.00 49.50    IV   5   4   7   0
49.50 50.00     V   7   5   7   2
50.00 50.50     I   0   1   7   7
50.50 51.00    IV   5   4   7   0
51.00 52.50     I   0   1   7   7
52.50 53.00     V   7   5   7   2
53.00 53.50     I   0   1   7   7
53.50 54.00     V   7   5   7   2
54.00 54.50     I   0   1   7   7
54.50 55.00     V   7   5   7   2
55.00 55.50     I   0   1   7   7
55.50 56.00     V   7   5   7   2
56.00 56.50     I   0   1   7   7
56.50 57.00     V   7   5   7   2
57.00 57.50     I   0   1   7   7
57.50 58.00     V   7   5   7   2
58.00 58.50     I   0   1   7   7
58.50 59.00     V   7   5   7   2
59.00 59.50     I   0   1   7   7
59.50 60.00     V   7   5   7   2
60.00 62.00    vi   9   6   7   4
62.00 63.00    IV   5   4   7   0
63.00 64.00     V   7   5   7   2
64.00 64.50     I   0   1   7   7
64.50 65.00     V   7   5   7   2
65.00 65.50     I   0   1   7   7
65.50 66.00     V   7   5   7   2
66.00 66.50     I   0   1   7   7
66.50 67.00     V   7   5   7   2
67.00 67.50     I   0   1   7   7
67.50 68.00     V   7   5   7   2
68.00 68.50     I   0   1   7   7
68.50 69.00     V   7   5   7   2
69.00 69.50     I   0   1   7   7
69.50 70.00     V   7   5   7   2
---

