start,end,numeral,chromatic root,diatonic root,key,absolute root
0.00,3.00,I,0,1,8,8
3.00,4.00,vi,9,6,8,5
4.00,5.00,IV,5,4,8,1
5.00,5.50,ii,2,2,8,10
5.50,6.00,V11,7,5,8,3
6.00,9.00,I,0,1,8,8
9.00,10.00,vi,9,6,8,5
10.00,11.00,IV,5,4,8,1
11.00,11.50,ii,2,2,8,10
11.50,12.00,V11,7,5,8,3
12.00,14.00,I,0,1,8,8
14.00,18.00,IV,5,4,8,1
18.00,19.00,I,0,1,8,8
19.00,20.00,vi,9,6,8,5
20.00,21.00,ii65,2,2,8,10
21.00,22.00,V,7,5,8,3
22.00,23.00,I,0,1,8,8
23.00,24.00,vi,9,6,8,5
24.00,25.00,IV,5,4,8,1
25.00,25.50,ii,2,2,8,10
25.50,26.00,V11,7,5,8,3
26.00,29.00,I,0,1,8,8
29.00,30.00,vi,9,6,8,5
30.00,31.00,IV,5,4,8,1
31.00,31.50,ii,2,2,8,10
31.50,32.00,V11,7,5,8,3
32.00,34.00,I,0,1,8,8
34.00,38.00,IV,5,4,8,1
38.00,39.00,I,0,1,8,8
39.00,40.00,vi,9,6,8,5
40.00,41.00,ii65,2,2,8,10
41.00,42.00,V,7,5,8,3
42.00,45.00,I,0,1,8,8
45.00,46.00,vi,9,6,8,5
46.00,47.00,IV,5,4,8,1
47.00,47.50,ii,2,2,8,10
47.50,48.00,V11,7,5,8,3
48.00,50.00,I,0,1,8,8
50.00,54.00,IV,5,4,8,1
54.00,55.00,I,0,1,8,8
55.00,56.00,vi,9,6,8,5
56.00,57.00,ii65,2,2,8,10
57.00,58.00,V,7,5,8,3
58.00,59.00,I,0,1,8,8
59.00,60.00,vi,9,6,8,5
60.00,61.00,IV,5,4,8,1
61.00,61.50,ii,2,2,8,10
61.50,62.00,V11,7,5,8,3
62.00,65.00,I,0,1,8,8
65.00,66.00,vi,9,6,8,5
66.00,67.00,IV,5,4,8,1
67.00,67.50,ii,2,2,8,10
67.50,68.00,V11,7,5,8,3
68.00,70.00,I,0,1,8,8
70.00,72.00,vi,9,6,8,5
72.00,74.00,I,0,1,8,8
74.00,76.00,vi,9,6,8,5
