start,end,numeral,chromatic root,diatonic root,key,absolute root
1.00,5.00,I,0,1,2,2
5.00,7.00,IV,5,4,2,7
7.00,9.00,I,0,1,2,2
9.00,10.00,V,7,5,2,9
10.00,11.00,IV,5,4,2,7
11.00,17.00,I,0,1,2,2
17.00,19.00,IV,5,4,2,7
19.00,21.00,I,0,1,2,2
21.00,22.00,V,7,5,2,9
22.00,23.00,IV,5,4,2,7
23.00,29.00,I,0,1,2,2
29.00,31.00,IV,5,4,2,7
31.00,33.00,I,0,1,2,2
33.00,35.00,IV,5,4,2,7
35.00,37.00,V,7,5,2,9
37.00,41.00,I,0,1,2,2
41.00,43.00,IV,5,4,2,7
43.00,45.00,I,0,1,2,2
45.00,46.00,V,7,5,2,9
46.00,47.00,IV,5,4,2,7
47.00,53.00,I,0,1,2,2
53.00,55.00,IV,5,4,2,7
55.00,57.00,I,0,1,2,2
57.00,59.00,IV,5,4,2,7
59.00,61.00,V,7,5,2,9
61.00,65.00,I,0,1,2,2
65.00,67.00,IV,5,4,2,7
67.00,69.00,I,0,1,2,2
69.00,70.00,V,7,5,2,9
70.00,71.00,IV,5,4,2,7
71.00,77.00,I,0,1,2,2
77.00,79.00,IV,5,4,2,7
79.00,81.00,I,0,1,2,2
81.00,82.00,V,7,5,2,9
82.00,83.00,IV,5,4,2,7
83.00,85.00,I,0,1,2,2
85.00,86.00,V,7,5,2,9
86.00,87.00,IV,5,4,2,7
87.00,89.00,I,0,1,2,2
89.00,90.00,V,7,5,2,9
90.00,91.00,IV,5,4,2,7
91.00,95.00,I,0,1,2,2
