start,end,numeral,chromatic root,diatonic root,key,absolute root
1.00,5.00,I,0,1,4,4
5.00,7.00,IVd7,5,4,4,9
7.00,8.00,V7,7,5,4,11
8.00,13.00,I,0,1,4,4
13.00,15.00,IVd7,5,4,4,9
15.00,16.00,V7,7,5,4,11
16.00,21.00,I,0,1,4,4
21.00,23.00,IVd7,5,4,4,9
23.00,24.00,V7,7,5,4,11
24.00,29.00,I,0,1,4,4
29.00,31.00,IVd7,5,4,4,9
31.00,32.00,V7,7,5,4,11
32.00,37.00,I,0,1,4,4
37.00,39.00,IVd7,5,4,4,9
39.00,40.00,V7,7,5,4,11
40.00,45.00,I,0,1,4,4
45.00,47.00,IVd7,5,4,4,9
47.00,48.00,V7,7,5,4,11
48.00,49.25,I,0,1,4,4
49.25,49.50,bII7,1,2,4,5
49.50,50.00,I7,0,1,4,4
