start,end,numeral,chromatic root,diatonic root,key,absolute root
0.00,0.50,I,0,1,6,6
0.50,1.00,V,7,5,6,1
1.00,1.50,bVII,10,7,6,4
1.50,2.00,bIII,3,3,6,9
2.00,2.50,bVI,8,6,6,2
2.50,3.00,bII,1,2,6,7
3.00,6.00,V,7,5,1,8
6.00,7.00,iii,4,3,1,5
7.00,8.00,v,7,5,1,8
8.00,9.00,iii,4,3,1,5
9.00,10.00,v,7,5,1,8
10.00,11.00,iii,4,3,1,5
11.00,12.00,v,7,5,1,8
12.00,13.00,iii,4,3,1,5
13.00,13.50,IV,5,4,1,6
13.50,14.00,V,7,5,1,8
14.00,15.00,I,0,1,1,1
15.00,15.50,IV,5,4,1,6
15.50,16.00,V,7,5,1,8
16.00,16.50,I,0,1,1,1
16.50,17.00,VI,9,6,1,10
17.00,17.50,IV,5,4,1,6
17.50,18.00,I,0,1,1,1
18.00,20.00,II,2,2,1,3
20.00,21.00,v,7,5,1,8
21.00,22.00,iii,4,3,1,5
22.00,23.00,v,7,5,1,8
23.00,24.00,iii,4,3,1,5
24.00,25.00,v,7,5,1,8
25.00,26.00,iii,4,3,1,5
26.00,27.00,v,7,5,1,8
27.00,28.00,iii,4,3,1,5
28.00,28.50,IV,5,4,1,6
28.50,29.00,V,7,5,1,8
29.00,30.00,I,0,1,1,1
30.00,30.50,IV,5,4,1,6
30.50,31.00,V,7,5,1,8
31.00,31.50,I,0,1,1,1
31.50,32.00,VI,9,6,1,10
32.00,32.50,IV,5,4,1,6
32.50,33.00,I,0,1,1,1
33.00,35.00,II,2,2,1,3
35.00,35.50,i,0,1,8,8
35.50,36.00,ii,2,2,8,10
36.00,36.50,i,0,1,8,8
36.50,37.00,ii,2,2,8,10
37.00,37.50,i,0,1,8,8
37.50,38.00,ii,2,2,8,10
38.00,38.50,i,0,1,8,8
38.50,39.00,ii,2,2,8,10
39.00,39.50,i,0,1,8,8
39.50,40.00,ii,2,2,8,10
40.00,40.50,i,0,1,8,8
40.50,41.00,ii,2,2,8,10
41.00,41.50,i,0,1,8,8
41.50,42.00,ii,2,2,8,10
42.00,42.50,i,0,1,8,8
42.50,43.00,ii,2,2,8,10
43.00,43.50,i,0,1,8,8
43.50,44.00,ii,2,2,8,10
44.00,44.50,i,0,1,8,8
44.50,45.00,ii,2,2,8,10
45.00,45.50,i,0,1,8,8
45.50,46.00,ii,2,2,8,10
46.00,46.50,i,0,1,8,8
46.50,47.00,ii,2,2,8,10
47.00,47.50,i,0,1,8,8
47.50,48.00,ii,2,2,8,10
48.00,48.50,i,0,1,8,8
48.50,49.00,ii,2,2,8,10
49.00,49.50,i,0,1,8,8
49.50,50.00,ii,2,2,8,10
50.00,50.50,i,0,1,8,8
50.50,51.00,ii,2,2,8,10
51.00,51.50,i,0,1,8,8
51.50,52.00,ii,2,2,8,10
52.00,52.50,i,0,1,8,8
52.50,53.00,ii,2,2,8,10
53.00,53.50,i,0,1,8,8
53.50,54.00,ii,2,2,8,10
54.00,54.50,i,0,1,8,8
54.50,55.00,ii,2,2,8,10
55.00,55.50,i,0,1,8,8
55.50,56.00,ii,2,2,8,10
56.00,56.50,i,0,1,8,8
56.50,57.00,ii,2,2,8,10
57.00,57.50,i,0,1,8,8
57.50,58.00,ii,2,2,8,10
58.00,58.50,i,0,1,8,8
58.50,59.00,ii,2,2,8,10
59.00,59.50,i,0,1,8,8
59.50,60.00,ii,2,2,8,10
60.00,60.50,i,0,1,8,8
60.50,61.00,ii,2,2,8,10
61.00,61.50,i,0,1,8,8
61.50,62.00,ii,2,2,8,10
62.00,62.50,i,0,1,8,8
62.50,63.00,ii,2,2,8,10
63.00,63.50,i,0,1,8,8
63.50,64.00,ii,2,2,8,10
64.00,64.50,i,0,1,8,8
64.50,65.00,ii,2,2,8,10
65.00,65.50,i,0,1,8,8
65.50,66.00,ii,2,2,8,10
66.00,66.50,i,0,1,8,8
66.50,67.00,ii,2,2,8,10
67.00,67.50,i,0,1,8,8
67.50,68.00,ii,2,2,8,10
68.00,68.50,i,0,1,8,8
68.50,69.00,ii,2,2,8,10
69.00,69.50,i,0,1,8,8
69.50,70.00,ii,2,2,8,10
70.00,70.50,i,0,1,8,8
70.50,71.00,ii,2,2,8,10
71.00,71.50,i,0,1,8,8
71.50,72.00,ii,2,2,8,10
72.00,72.50,i,0,1,8,8
72.50,73.00,ii,2,2,8,10
73.00,73.50,i,0,1,8,8
73.50,74.00,ii,2,2,8,10
74.00,74.50,i,0,1,8,8
74.50,75.00,ii,2,2,8,10
75.00,75.50,i,0,1,8,8
75.50,76.00,ii,2,2,8,10
76.00,76.50,i,0,1,8,8
76.50,77.00,ii,2,2,8,10
77.00,77.50,i,0,1,8,8
77.50,78.00,ii,2,2,8,10
78.00,78.50,i,0,1,8,8
78.50,79.00,ii,2,2,8,10
79.00,79.50,i,0,1,8,8
79.50,80.00,ii,2,2,8,10
80.00,80.50,i,0,1,8,8
80.50,81.00,ii,2,2,8,10
81.00,81.50,i,0,1,8,8
81.50,82.00,ii,2,2,8,10
82.00,82.50,i,0,1,8,8
82.50,83.00,ii,2,2,8,10
83.00,83.50,i,0,1,8,8
83.50,84.00,ii,2,2,8,10
84.00,84.50,i,0,1,8,8
84.50,85.00,ii,2,2,8,10
85.00,85.50,i,0,1,8,8
85.50,86.00,ii,2,2,8,10
86.00,86.50,i,0,1,8,8
86.50,87.00,ii,2,2,8,10
87.00,87.50,i,0,1,8,8
87.50,88.00,ii,2,2,8,10
88.00,88.50,i,0,1,8,8
88.50,89.00,ii,2,2,8,10
89.00,89.50,i,0,1,8,8
89.50,90.00,ii,2,2,8,10
90.00,90.50,i,0,1,8,8
90.50,91.00,ii,2,2,8,10
91.00,91.50,i,0,1,8,8
91.50,92.00,ii,2,2,8,10
92.00,92.50,i,0,1,8,8
92.50,93.00,ii,2,2,8,10
93.00,93.50,i,0,1,8,8
93.50,94.00,ii,2,2,8,10
94.00,94.50,i,0,1,8,8
94.50,95.00,ii,2,2,8,10
95.00,95.50,i,0,1,8,8
95.50,96.00,ii,2,2,8,10
96.00,96.50,i,0,1,8,8
96.50,97.00,ii,2,2,8,10
97.00,97.50,i,0,1,8,8
97.50,98.00,ii,2,2,8,10
98.00,98.50,i,0,1,8,8
98.50,99.00,ii,2,2,8,10
99.00,99.50,i,0,1,8,8
99.50,100.00,ii,2,2,8,10
100.00,100.50,i,0,1,8,8
100.50,101.00,ii,2,2,8,10
101.00,101.50,i,0,1,8,8
101.50,102.00,ii,2,2,8,10
102.00,102.50,i,0,1,8,8
102.50,103.00,ii,2,2,8,10
103.00,103.50,i,0,1,8,8
