start,end,numeral,chromatic root,diatonic root,key,absolute root
0.00,3.50,i,0,1,9,9
3.50,4.00,IV,5,4,9,2
4.00,4.50,i,0,1,9,9
4.50,5.00,IV,5,4,9,2
5.00,5.50,i,0,1,9,9
5.50,6.00,IV,5,4,9,2
6.00,7.00,ii7,2,2,5,7
7.00,8.00,iii7,4,3,5,9
8.00,9.00,ii7,2,2,5,7
9.00,10.00,iii7,4,3,5,9
10.00,11.00,vi,9,6,5,2
11.00,12.00,iii7,4,3,5,9
12.00,13.00,IV,5,4,5,10
13.00,14.00,V,7,5,5,0
14.00,15.00,I7,0,1,5,5
15.00,16.00,IV,5,4,5,10
16.00,17.00,I7,0,1,5,5
17.00,18.00,IV,5,4,5,10
18.00,19.00,I7,0,1,5,5
19.00,20.00,IV,5,4,5,10
20.00,22.00,I7,0,1,5,5
22.00,23.50,i,0,1,9,9
23.50,24.00,IV,5,4,9,2
24.00,24.50,i,0,1,9,9
24.50,25.00,IV,5,4,9,2
25.00,25.50,i,0,1,9,9
25.50,26.00,IV,5,4,9,2
26.00,27.00,ii7,2,2,5,7
27.00,28.00,iii7,4,3,5,9
28.00,29.00,ii7,2,2,5,7
29.00,30.00,iii7,4,3,5,9
30.00,31.00,vi,9,6,5,2
31.00,32.00,iii7,4,3,5,9
32.00,33.00,IV,5,4,5,10
33.00,34.00,V,7,5,5,0
34.00,35.00,I7,0,1,5,5
35.00,36.00,IV,5,4,5,10
36.00,37.00,I7,0,1,5,5
37.00,38.00,IV,5,4,5,10
38.00,39.00,I7,0,1,5,5
39.00,40.00,IV,5,4,5,10
40.00,41.00,I7,0,1,5,5
41.00,42.00,IV,5,4,5,10
42.00,43.50,i,0,1,9,9
43.50,44.00,IV,5,4,9,2
44.00,44.50,i,0,1,9,9
44.50,45.00,IV,5,4,9,2
45.00,45.50,i,0,1,9,9
45.50,46.00,IV,5,4,9,2
46.00,46.50,i,0,1,9,9
46.50,47.00,IV,5,4,9,2
47.00,48.00,i,0,1,9,9
48.00,49.00,ii7,2,2,5,7
49.00,50.00,iii7,4,3,5,9
50.00,51.00,ii7,2,2,5,7
51.00,52.00,iii7,4,3,5,9
52.00,53.00,vi,9,6,5,2
53.00,54.00,iii7,4,3,5,9
54.00,55.00,IV,5,4,5,10
55.00,56.00,V,7,5,5,0
56.00,57.00,I7,0,1,5,5
57.00,58.00,IV,5,4,5,10
58.00,59.00,I7,0,1,5,5
59.00,60.00,IV,5,4,5,10
60.00,61.00,I7,0,1,5,5
61.00,62.00,IV,5,4,5,10
62.00,63.00,I7,0,1,5,5
63.00,64.00,IV,5,4,5,10
64.00,65.00,I7,0,1,5,5
65.00,66.00,IV,5,4,5,10
66.00,67.00,I7,0,1,5,5
67.00,68.00,IV,5,4,5,10
68.00,69.00,I7,0,1,5,5
69.00,70.00,IV,5,4,5,10
